utterances,serialized_schema,table_used
"['Who are the technicians from team ""CLE"" and ""CWS""?', 'Please show me the starting years for them', 'What years are shared?']","  repair : repair_id , name , launch_date , notes | machine : machine_id , making_year , class , team , machine_series , value_points , quality_rank | technician : technician_id , name , team  , starting_year , age | repair_assignment : technician_id , repair_id , machine_id",technician
['Can you list the class room associated with the name Loria Ondersma in the teachers table?'],"  list : lastname , firstname , grade , classroom | teachers : lastname  , firstname  , classroom",teachers
"['Can you list the class room associated with the name Loria Ondersma in the teachers table?', 'Can you show me all first and last names from the list table that have a classroom id of 108?']","  list : lastname , firstname , grade , classroom | teachers : lastname  , firstname  , classroom",teachers
"['Can you list the class room associated with the name Loria Ondersma in the teachers table?', 'Can you show me all first and last names from the list table that have a classroom id of 108?', 'Can you tell me how many unique names are currently in the table?']","  list : lastname , firstname , grade , classroom | teachers : lastname  , firstname  , classroom",teachers
"[""What are the duration's of the longest and shortest track in milliseconds.""]","  album : albumid , title , artistid | artist : artistid , name | customer : customerid , firstname , lastname , company , address , city , state , country , postalcode , phone , fax , email , supportrepid | employee : employeeid , lastname , firstname , title , reportsto , birthdate , hiredate , address , city , state , country , postalcode , phone , fax , email | genre : genreid , name | invoice : invoiceid , customerid , invoicedate , billingaddress , billingcity , billingstate , billingcountry , billingpostalcode , total | invoiceline : invoicelineid , invoiceid , trackid , unitprice , quantity | mediatype : mediatypeid , name | playlist : playlistid , name | playlisttrack : playlistid , trackid | track : trackid , name , albumid , mediatypeid , genreid , composer , milliseconds , bytes , unitprice",TRACK
"[""What are the duration's of the longest and shortest track in milliseconds."", 'What is the name of the longest track?']","  album : albumid , title , artistid | artist : artistid , name | customer : customerid , firstname , lastname , company , address , city , state , country , postalcode , phone , fax , email , supportrepid | employee : employeeid , lastname , firstname , title , reportsto , birthdate , hiredate , address , city , state , country , postalcode , phone , fax , email | genre : genreid , name | invoice : invoiceid , customerid , invoicedate , billingaddress , billingcity , billingstate , billingcountry , billingpostalcode , total | invoiceline : invoicelineid , invoiceid , trackid , unitprice , quantity | mediatype : mediatypeid , name | playlist : playlistid , name | playlisttrack : playlistid , trackid | track : trackid , name , albumid , mediatypeid , genreid , composer , milliseconds , bytes , unitprice",TRACK
"[""What are the duration's of the longest and shortest track in milliseconds."", 'What is the name of the longest track?', 'Who was the longest track written by?']","  album : albumid , title , artistid | artist : artistid , name | customer : customerid , firstname , lastname , company , address , city , state , country , postalcode , phone , fax , email , supportrepid | employee : employeeid , lastname , firstname , title , reportsto , birthdate , hiredate , address , city , state , country , postalcode , phone , fax , email | genre : genreid , name | invoice : invoiceid , customerid , invoicedate , billingaddress , billingcity , billingstate , billingcountry , billingpostalcode , total | invoiceline : invoicelineid , invoiceid , trackid , unitprice , quantity | mediatype : mediatypeid , name | playlist : playlistid , name | playlisttrack : playlistid , trackid | track : trackid , name , albumid , mediatypeid , genreid , composer , milliseconds , bytes , unitprice",TRACK
['Provide all the details of the song Tumi robe nirobe?'],"  genre : g_name , rating , most_popular_in | artist : artist_name , country , gender , preferred_genre | files : f_id , artist_name , file_size , duration , formats | song : song_name  , artist_name , country , f_id , genre_is , rating , languages , releasedate , resolution",song
"['Provide all the details of the song Tumi robe nirobe?', 'What are the maximum and minimum resolution of songs whose duration in 3 minutes?']","  genre : g_name , rating , most_popular_in | artist : artist_name , country , gender , preferred_genre | files : f_id , artist_name , file_size , duration , formats | song : song_name  , artist_name , country , f_id , genre_is , rating , languages , releasedate , resolution",files
"['Provide all the details of the song Tumi robe nirobe?', 'What are the maximum and minimum resolution of songs whose duration in 3 minutes?', 'List the songs with size more than 4MB ?']","  genre : g_name , rating , most_popular_in | artist : artist_name , country , gender , preferred_genre | files : f_id , artist_name , file_size , duration , formats | song : song_name  , artist_name , country , f_id , genre_is , rating , languages , releasedate , resolution",files
"['What is the maximum capacity in Lambert?', 'Did you mean Lamberton?', 'yes. my apologies.']","  classroom : building  , room_number , capacity | department : dept_name , building  , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building  , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id",classroom
"['What is the maximum capacity in Lambert?', 'Did you mean Lamberton?', 'yes. my apologies.', 'What is the maximum capacity of all of the rooms?']","  classroom : building  , room_number , capacity | department : dept_name , building  , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building  , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id",classroom
"['What is the maximum capacity in Lambert?', 'Did you mean Lamberton?', 'yes. my apologies.', 'What is the maximum capacity of all of the rooms?', 'How many rooms are there?']","  classroom : building  , room_number , capacity | department : dept_name , building  , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building  , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id",classroom
['Please list each gender code with its corresponding amount of guests and sort it in descending order by that count?'],"  apartment_buildings : building_id , building_short_name , building_full_name , building_description , building_address , building_manager , building_phone | apartments : apt_id , building_id , apt_type_code , apt_number , bathroom_count , bedroom_count , room_count | apartment_facilities : apt_id , facility_code | guests : guest_id , gender_code , guest_first_name , guest_last_name , date_of_birth | apartment_bookings : apt_booking_id , apt_id , guest_id , booking_status_code , booking_start_date , booking_end_date | view_unit_status : apt_id , apt_booking_id , status_date , available_yn",Guests
"['Please list each gender code with its corresponding amount of guests and sort it in descending order by that count?', 'What are the full names of all the people with unknown genders?']","  apartment_buildings : building_id , building_short_name , building_full_name , building_description , building_address , building_manager , building_phone | apartments : apt_id , building_id , apt_type_code , apt_number , bathroom_count , bedroom_count , room_count | apartment_facilities : apt_id , facility_code | guests : guest_id , gender_code  , guest_first_name , guest_last_name , date_of_birth | apartment_bookings : apt_booking_id , apt_id , guest_id , booking_status_code , booking_start_date , booking_end_date | view_unit_status : apt_id , apt_booking_id , status_date , available_yn",Guests
"['Please list each gender code with its corresponding amount of guests and sort it in descending order by that count?', 'What are the full names of all the people with unknown genders?', 'What were their birth dates?']","  apartment_buildings : building_id , building_short_name , building_full_name , building_description , building_address , building_manager , building_phone | apartments : apt_id , building_id , apt_type_code , apt_number , bathroom_count , bedroom_count , room_count | apartment_facilities : apt_id , facility_code | guests : guest_id , gender_code  , guest_first_name , guest_last_name , date_of_birth | apartment_bookings : apt_booking_id , apt_id , guest_id , booking_status_code , booking_start_date , booking_end_date | view_unit_status : apt_id , apt_booking_id , status_date , available_yn",Guests
['What is the total grant amount of the organizations described as research?'],"  document_types : document_type_code , document_description | documents : document_id , document_type_code , grant_id , sent_date , response_received_date , other_details | grants : grant_id , organisation_id , grant_amount , grant_start_date , grant_end_date , other_details | organisation_types : organisation_type , organisation_type_description  | organisations : organisation_id , organisation_type , organisation_details | project_outcomes : project_id , outcome_code , outcome_details | project_staff : staff_id , project_id , role_code  , date_from , date_to , other_details | projects : project_id , organisation_id , project_details | research_outcomes : outcome_code , outcome_description | research_staff : staff_id , employer_organisation_id , staff_details | staff_roles : role_code  , role_description | tasks : task_id , project_id , task_details , eg agree objectives",Grants
"['What is the total grant amount of the organizations described as research?', 'What is the grant start date of the organizations described as research?']","  document_types : document_type_code , document_description | documents : document_id , document_type_code , grant_id , sent_date , response_received_date , other_details | grants : grant_id , organisation_id , grant_amount , grant_start_date , grant_end_date , other_details | organisation_types : organisation_type , organisation_type_description  | organisations : organisation_id , organisation_type , organisation_details | project_outcomes : project_id , outcome_code , outcome_details | project_staff : staff_id , project_id , role_code  , date_from , date_to , other_details | projects : project_id , organisation_id , project_details | research_outcomes : outcome_code , outcome_description | research_staff : staff_id , employer_organisation_id , staff_details | staff_roles : role_code  , role_description | tasks : task_id , project_id , task_details , eg agree objectives",Grants
"['What is the total grant amount of the organizations described as research?', 'What is the grant start date of the organizations described as research?', 'Show me organization ids for organizations described as research']","  document_types : document_type_code , document_description | documents : document_id , document_type_code , grant_id , sent_date , response_received_date , other_details | grants : grant_id , organisation_id , grant_amount , grant_start_date , grant_end_date , other_details | organisation_types : organisation_type , organisation_type_description  | organisations : organisation_id , organisation_type , organisation_details | project_outcomes : project_id , outcome_code , outcome_details | project_staff : staff_id , project_id , role_code  , date_from , date_to , other_details | projects : project_id , organisation_id , project_details | research_outcomes : outcome_code , outcome_description | research_staff : staff_id , employer_organisation_id , staff_details | staff_roles : role_code  , role_description | tasks : task_id , project_id , task_details , eg agree objectives",Grants
"['Can you show me all tracks which were opened after 2000?', 'Do you mean the names of all the tracks which were opened after 2000?', 'Yes.']","  race : race_id , name , class , date , track_id | track : track_id , name , location , seating , year_opened",track
"['Can you show me all tracks which were opened after 2000?', 'Do you mean the names of all the tracks which were opened after 2000?', 'Yes.', 'Hmm, I want to know the seatings for all the tracks opened after 2000.']","  race : race_id , name , class , date , track_id | track : track_id , name , location , seating , year_opened",track
"['Can you show me all tracks which were opened after 2000?', 'Do you mean the names of all the tracks which were opened after 2000?', 'Yes.', 'Hmm, I want to know the seatings for all the tracks opened after 2000.', 'Please list the names and seatings for all the tracks opened after 2000, ordered by seating.']","  race : race_id , name , class , date , track_id | track : track_id , name , location , seating , year_opened",track
"[""Hey there!  How're you!  Can you provide me with a list of all of the different movie studios?""]","  film : film_id , title , studio , director , gross_in_dollar | market : market_id , country , number_cities | film_market_estimation : estimation_id , low_estimate , high_estimate , film_id , type , market_id , year",film
"[""Hey there!  How're you!  Can you provide me with a list of all of the different movie studios?"", 'Could you filter this list to show just the movie studio which has the largest number of movies?']","  film : film_id , title , studio , director , gross_in_dollar | market : market_id , country , number_cities | film_market_estimation : estimation_id , low_estimate , high_estimate , film_id , type , market_id , year",film
"[""Hey there!  How're you!  Can you provide me with a list of all of the different movie studios?"", 'Could you filter this list to show just the movie studio which has the largest number of movies?', 'Great!  Can you please provide me with the total number of films by 20th Century Fox?']","  film : film_id , title , studio  , director , gross_in_dollar | market : market_id , country , number_cities | film_market_estimation : estimation_id , low_estimate , high_estimate , film_id , type , market_id , year",film
['how many order items there'],"  addresses : address_id , address_details | staff : staff_id , staff_gender , staff_name | suppliers : supplier_id , supplier_name , supplier_phone | department_store_chain : dept_store_chain_id , dept_store_chain_name | customers : customer_id , payment_method_code , customer_code , customer_name , customer_address , customer_phone , customer_email | products : product_id , product_type_code , product_name , product_price | supplier_addresses : supplier_id , address_id , date_from , date_to | customer_addresses : customer_id , address_id , date_from , date_to | customer_orders : order_id , customer_id , order_status_code , order_date | department_stores : dept_store_id , dept_store_chain_id , store_name , store_address , store_phone , store_email | departments : department_id , dept_store_id , department_name | order_items : order_item_id , order_id , product_id | product_suppliers : product_id , supplier_id , date_supplied_from , date_supplied_to , total_amount_purchased , total_value_purchased | staff_department_assignments : staff_id , department_id , date_assigned_from , job_title_code , date_assigned_to",order_items
"['how many order items there', 'how many order id from product id 7']","  addresses : address_id , address_details | staff : staff_id , staff_gender , staff_name | suppliers : supplier_id , supplier_name , supplier_phone | department_store_chain : dept_store_chain_id , dept_store_chain_name | customers : customer_id , payment_method_code , customer_code , customer_name , customer_address , customer_phone , customer_email | products : product_id , product_type_code , product_name , product_price | supplier_addresses : supplier_id , address_id , date_from , date_to | customer_addresses : customer_id , address_id , date_from , date_to | customer_orders : order_id , customer_id , order_status_code , order_date | department_stores : dept_store_id , dept_store_chain_id , store_name , store_address , store_phone , store_email | departments : department_id , dept_store_id , department_name | order_items : order_item_id , order_id , product_id | product_suppliers : product_id , supplier_id , date_supplied_from , date_supplied_to , total_amount_purchased , total_value_purchased | staff_department_assignments : staff_id , department_id , date_assigned_from , job_title_code , date_assigned_to",order_items
"['how many order items there', 'how many order id from product id 7', 'how many order id from order item id 2']","  addresses : address_id , address_details | staff : staff_id , staff_gender , staff_name | suppliers : supplier_id , supplier_name , supplier_phone | department_store_chain : dept_store_chain_id , dept_store_chain_name | customers : customer_id , payment_method_code , customer_code , customer_name , customer_address , customer_phone , customer_email | products : product_id , product_type_code , product_name , product_price | supplier_addresses : supplier_id , address_id , date_from , date_to | customer_addresses : customer_id , address_id , date_from , date_to | customer_orders : order_id , customer_id , order_status_code , order_date | department_stores : dept_store_id , dept_store_chain_id , store_name , store_address , store_phone , store_email | departments : department_id , dept_store_id , department_name | order_items : order_item_id , order_id , product_id | product_suppliers : product_id , supplier_id , date_supplied_from , date_supplied_to , total_amount_purchased , total_value_purchased | staff_department_assignments : staff_id , department_id , date_assigned_from , job_title_code , date_assigned_to",order_items
"['Hello, what is the name of the student with student id 1008?', 'The first and last name of the student with student id 1008 is Jandy Nelson.', 'What is her major?']","  student : stuid , lname  , fname  , age , sex , major , advisor , city_code | club : clubid , clubname , clubdesc , clublocation | member_of_club : stuid , clubid , position",student
"['Hello, what is the name of the student with student id 1008?', 'The first and last name of the student with student id 1008 is Jandy Nelson.', 'What is her major?', ""Apologies, I meant to ask his/her major; what is the student's sex?""]","  student : stuid , lname  , fname  , age , sex , major , advisor , city_code | club : clubid , clubname , clubdesc , clublocation | member_of_club : stuid , clubid , position",student
"['Hello, what is the name of the student with student id 1008?', 'The first and last name of the student with student id 1008 is Jandy Nelson.', 'What is her major?', ""Apologies, I meant to ask his/her major; what is the student's sex?"", 'How old is the student with student id 1008?']","  student : stuid , lname  , fname  , age , sex , major , advisor , city_code | club : clubid , clubname , clubdesc , clublocation | member_of_club : stuid , clubid , position",student
['What is the average gross amount of money made in dollars?'],"  film : film_id , title , studio , director , gross_in_dollar | market : market_id , country , number_cities | film_market_estimation : estimation_id , low_estimate , high_estimate , film_id , type , market_id , year",film
"['What is the average gross amount of money made in dollars?', 'What films did Nicholas Meyer direct?']","  film : film_id , title , studio , director  , gross_in_dollar | market : market_id , country , number_cities | film_market_estimation : estimation_id , low_estimate , high_estimate , film_id , type , market_id , year",film
"['What is the average gross amount of money made in dollars?', 'What films did Nicholas Meyer direct?', 'What were those movies directed by Walter Hill?']","  film : film_id , title , studio , director  , gross_in_dollar | market : market_id , country , number_cities | film_market_estimation : estimation_id , low_estimate , high_estimate , film_id , type , market_id , year",film
"['Can you show me the origins, the destinations and the flight numbers?']","  flight : flno , origin , destination , distance , departure_date , arrival_date , price , aid | aircraft : aid , name , distance | employee : eid , name , salary | certificate : eid , aid",Flight
"['Can you show me the origins, the destinations and the flight numbers?', 'Hmm, I want to know just the destinations and the flight numbers please.']","  flight : flno , origin , destination , distance , departure_date , arrival_date , price , aid | aircraft : aid , name , distance | employee : eid , name , salary | certificate : eid , aid",Flight
"['Can you show me the origins, the destinations and the flight numbers?', 'Hmm, I want to know just the destinations and the flight numbers please.', 'Please show me the destinations and the number of flights they have.']","  flight : flno , origin , destination , distance , departure_date , arrival_date , price , aid | aircraft : aid , name , distance | employee : eid , name , salary | certificate : eid , aid",Flight
['Can you provide me with the names of the dorms that have both TV Lounge and Study Room as amenities?'],"  student : stuid , lname , fname , age , sex , major , advisor , city_code | dorm : dormid , dorm_name , student_capacity , gender | dorm_amenity : amenid , amenity_name  | has_amenity : dormid , amenid | lives_in : stuid , dormid , room_number",dorm
"['Can you provide me with the names of the dorms that have both TV Lounge and Study Room as amenities?', 'What is the Dorm ID of Dorm-plex 2000?']","  student : stuid , lname , fname , age , sex , major , advisor , city_code | dorm : dormid , dorm_name  , student_capacity , gender | dorm_amenity : amenid , amenity_name  | has_amenity : dormid , amenid | lives_in : stuid , dormid , room_number",dorm
"['Can you provide me with the names of the dorms that have both TV Lounge and Study Room as amenities?', 'What is the Dorm ID of Dorm-plex 2000?', 'What is the student capacity of Dorm-plex 2000?']","  student : stuid , lname , fname , age , sex , major , advisor , city_code | dorm : dormid , dorm_name  , student_capacity , gender | dorm_amenity : amenid , amenity_name  | has_amenity : dormid , amenid | lives_in : stuid , dormid , room_number",dorm
['list all job ids'],"  regions : region_id , region_name | countries : country_id , country_name , region_id | departments : department_id , department_name , manager_id , location_id | jobs : job_id , job_title , min_salary , max_salary | employees : employee_id , first_name , last_name , email , phone_number , hire_date , job_id , salary , commission_pct , manager_id , department_id | job_history : employee_id , start_date , end_date , job_id , department_id | locations : location_id , street_address , postal_code , city , state_province , country_id",employees
"['list all job ids', 'what are the hire dates for all the jobs?']","  regions : region_id , region_name | countries : country_id , country_name , region_id | departments : department_id , department_name , manager_id , location_id | jobs : job_id , job_title , min_salary , max_salary | employees : employee_id , first_name , last_name , email , phone_number , hire_date , job_id , salary , commission_pct , manager_id , department_id | job_history : employee_id , start_date , end_date , job_id , department_id | locations : location_id , street_address , postal_code , city , state_province , country_id",employees
"['list all job ids', 'what are the hire dates for all the jobs?', 'list all the phone numbers']","  regions : region_id , region_name | countries : country_id , country_name , region_id | departments : department_id , department_name , manager_id , location_id | jobs : job_id , job_title , min_salary , max_salary | employees : employee_id , first_name , last_name , email , phone_number , hire_date , job_id , salary , commission_pct , manager_id , department_id | job_history : employee_id , start_date , end_date , job_id , department_id | locations : location_id , street_address , postal_code , city , state_province , country_id",employees
"['Which customers have ordered ""food""?', 'ok, did you want to just return their names?', 'Yes. I just want to know the names of which customers have placed orders under the category ""food""']","  customers : customer_id , customer_name , customer_details | invoices : invoice_number , invoice_date , invoice_details | orders : order_id , customer_id , order_status , date_order_placed , order_details | products : product_id , product_name  , product_details | order_items : order_item_id , product_id , order_id , order_item_status , order_item_details | shipments : shipment_id , order_id , invoice_number , shipment_tracking_number , shipment_date , other_shipment_details | shipment_items : shipment_id , order_item_id",customers
"['Which customers have ordered ""food""?', 'ok, did you want to just return their names?', 'Yes. I just want to know the names of which customers have placed orders under the category ""food""', 'Of the names listed in the table, which of them have an item status listed as ""cancel""?']","  customers : customer_id , customer_name , customer_details | invoices : invoice_number , invoice_date , invoice_details | orders : order_id , customer_id , order_status , date_order_placed , order_details | products : product_id , product_name  , product_details | order_items : order_item_id , product_id , order_id , order_item_status  , order_item_details | shipments : shipment_id , order_id , invoice_number , shipment_tracking_number , shipment_date , other_shipment_details | shipment_items : shipment_id , order_item_id",customers
"['Which customers have ordered ""food""?', 'ok, did you want to just return their names?', 'Yes. I just want to know the names of which customers have placed orders under the category ""food""', 'Of the names listed in the table, which of them have an item status listed as ""cancel""?', 'How many customers have cancelled orders?', 'Do you mean the customers in the previous result?', 'yes']","  customers : customer_id , customer_name , customer_details | invoices : invoice_number , invoice_date , invoice_details | orders : order_id , customer_id , order_status , date_order_placed , order_details | products : product_id , product_name  , product_details | order_items : order_item_id , product_id , order_id , order_item_status  , order_item_details | shipments : shipment_id , order_id , invoice_number , shipment_tracking_number , shipment_date , other_shipment_details | shipment_items : shipment_id , order_item_id",customers
['What are id and name of the products whose price is lower than 600?'],"  addresses : address_id , address_details | staff : staff_id , staff_gender , staff_name | suppliers : supplier_id , supplier_name , supplier_phone | department_store_chain : dept_store_chain_id , dept_store_chain_name | customers : customer_id , payment_method_code , customer_code , customer_name , customer_address , customer_phone , customer_email | products : product_id , product_type_code , product_name , product_price | supplier_addresses : supplier_id , address_id , date_from , date_to | customer_addresses : customer_id , address_id , date_from , date_to | customer_orders : order_id , customer_id , order_status_code , order_date | department_stores : dept_store_id , dept_store_chain_id , store_name , store_address , store_phone , store_email | departments : department_id , dept_store_id , department_name | order_items : order_item_id , order_id , product_id | product_suppliers : product_id , supplier_id , date_supplied_from , date_supplied_to , total_amount_purchased , total_value_purchased | staff_department_assignments : staff_id , department_id , date_assigned_from , job_title_code , date_assigned_to",products
"['What are id and name of the products whose price is lower than 600?', 'What are id and name of the products whose price is higher than 900?']","  addresses : address_id , address_details | staff : staff_id , staff_gender , staff_name | suppliers : supplier_id , supplier_name , supplier_phone | department_store_chain : dept_store_chain_id , dept_store_chain_name | customers : customer_id , payment_method_code , customer_code , customer_name , customer_address , customer_phone , customer_email | products : product_id , product_type_code , product_name , product_price | supplier_addresses : supplier_id , address_id , date_from , date_to | customer_addresses : customer_id , address_id , date_from , date_to | customer_orders : order_id , customer_id , order_status_code , order_date | department_stores : dept_store_id , dept_store_chain_id , store_name , store_address , store_phone , store_email | departments : department_id , dept_store_id , department_name | order_items : order_item_id , order_id , product_id | product_suppliers : product_id , supplier_id , date_supplied_from , date_supplied_to , total_amount_purchased , total_value_purchased | staff_department_assignments : staff_id , department_id , date_assigned_from , job_title_code , date_assigned_to",products
"['What are id and name of the products whose price is lower than 600?', 'What are id and name of the products whose price is higher than 900?', 'How many products have price lower than 600 or higher than 900?']","  addresses : address_id , address_details | staff : staff_id , staff_gender , staff_name | suppliers : supplier_id , supplier_name , supplier_phone | department_store_chain : dept_store_chain_id , dept_store_chain_name | customers : customer_id , payment_method_code , customer_code , customer_name , customer_address , customer_phone , customer_email | products : product_id , product_type_code , product_name , product_price | supplier_addresses : supplier_id , address_id , date_from , date_to | customer_addresses : customer_id , address_id , date_from , date_to | customer_orders : order_id , customer_id , order_status_code , order_date | department_stores : dept_store_id , dept_store_chain_id , store_name , store_address , store_phone , store_email | departments : department_id , dept_store_id , department_name | order_items : order_item_id , order_id , product_id | product_suppliers : product_id , supplier_id , date_supplied_from , date_supplied_to , total_amount_purchased , total_value_purchased | staff_department_assignments : staff_id , department_id , date_assigned_from , job_title_code , date_assigned_to",products
['What is the average price of all products?'],"  manufacturers : code , name , headquarter , founder , revenue | products : code , name , price , manufacturer",products
"['What is the average price of all products?', 'And what is the average price for each company?']","  manufacturers : code , name , headquarter , founder , revenue | products : code , name , price , manufacturer",products
"['What is the average price of all products?', 'And what is the average price for each company?', 'What are all companies names?']","  manufacturers : code , name , headquarter , founder , revenue | products : code , name , price , manufacturer",manufacturers
['how many artists do you have?'],"  album : albumid , title , artistid | artist : artistid , name | customer : customerid , firstname , lastname , company , address , city , state , country , postalcode , phone , fax , email , supportrepid | employee : employeeid , lastname , firstname , title , reportsto , birthdate , hiredate , address , city , state , country , postalcode , phone , fax , email | genre : genreid , name | invoice : invoiceid , customerid , invoicedate , billingaddress , billingcity , billingstate , billingcountry , billingpostalcode , total | invoiceline : invoicelineid , invoiceid , trackid , unitprice , quantity | mediatype : mediatypeid , name | playlist : playlistid , name | playlisttrack : playlistid , trackid | track : trackid , name , albumid , mediatypeid , genreid , composer , milliseconds , bytes , unitprice",artist
"['how many artists do you have?', 'What are their names?']","  album : albumid , title , artistid | artist : artistid , name | customer : customerid , firstname , lastname , company , address , city , state , country , postalcode , phone , fax , email , supportrepid | employee : employeeid , lastname , firstname , title , reportsto , birthdate , hiredate , address , city , state , country , postalcode , phone , fax , email | genre : genreid , name | invoice : invoiceid , customerid , invoicedate , billingaddress , billingcity , billingstate , billingcountry , billingpostalcode , total | invoiceline : invoicelineid , invoiceid , trackid , unitprice , quantity | mediatype : mediatypeid , name | playlist : playlistid , name | playlisttrack : playlistid , trackid | track : trackid , name , albumid , mediatypeid , genreid , composer , milliseconds , bytes , unitprice",artist
